experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1711732791,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 109.557, 'rtimeup': 109.557}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'uniform', 'coefficients': [0, 1]}",1,0,1711732796,ToM+SSSM-2143-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,1,3,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 110.047, 'rtimeup': 110.047}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",2,0,1711732802,ToM+SSSM-2143-1324,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 134, 'min': 134, 'avg': 128.0, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(110, 118)","(110, 118)","(118, 126)","(118, 126)","(126, 134)","(126, 134)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,1,0,0,1,3,0,0,4,2,3,4,B,,,,,BA,,,,,,,,,,A,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 110.58, 'rtimeup': 110.58}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 110.676, 'rtimeup': 110.676}",,,,,,,,,
players,"{'n_humans': 1, 'n_robots': 1, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",3,0,1711732810,ToM+SSSM-3421-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 128, 'min': 128, 'avg': 123.75, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(111, 119)","(111, 119)","(112, 120)","(112, 120)","(120, 128)","(120, 128)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,2,4,1,1,B,,,,,BB,,,BBA,,,,,,,A,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 111.22, 'rtimeup': 111.22}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 111.44, 'rtimeup': 111.44}",,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 111.368, 'rtimeup': 111.368}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 0, 'buffer_between_levels': 0}",4,0,1711732818,ToM+SMSS-3412-1324,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 129, 'min': 129, 'avg': 124.5, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(111, 119)","(111, 119)","(113, 121)","(113, 121)","(121, 129)","(121, 129)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,1,2,2,4,B,,,,,BB,,,BBB,,,,,,,A,,,BA,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 111.929, 'rtimeup': 111.929}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 112.25, 'rtimeup': 112.25}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 112.154, 'rtimeup': 112.154}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
game_trees,"{'preselected': False, 'trees_list': ['Tree_of_Spite', 'Tutorial_Tree_0', 'Abdication_Frenzy', 'Semi_Simultaneous', 'Prisoners_Dilemma', 'Intermediate_Payoffs', 'Ternary_Dictator_Game', 'Artificial_Agent_Tester', 'Insurance_for_Used_Cars', 'Simultaneous_Predictions', 'Three_Player_Enjoyment', 'Tripple_Simultaneous', 'Asking_for_a_Raise']}",5,0,1711732829,ToM+SMSS-3412-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 130, 'min': 130, 'avg': 125.5, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(112, 120)","(112, 120)","(114, 122)","(114, 122)","(122, 130)","(122, 130)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,4,0,0,4,2,0,0,1,1,2,3,B,,,,,BB,,,BBB,,,,,,,A,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 112.815, 'rtimeup': 112.815}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 113.322, 'rtimeup': 113.322}",,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 113.16, 'rtimeup': 113.16}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",6,0,1711732834,ToM+SMSS-2134-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,1,3,0,0,3,4,4,1,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 113.836, 'rtimeup': 113.836}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",7,0,1711732845,ToM+SMSS-3412-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 131, 'min': 131, 'avg': 126.75, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(114, 122)","(114, 122)","(115, 123)","(115, 123)","(123, 131)","(123, 131)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,4,2,0,0,1,1,2,4,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 114.426, 'rtimeup': 114.426}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 114.951, 'rtimeup': 114.951}",,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 114.545, 'rtimeup': 114.545}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",8,0,1711732855,ToM+MMMS-3241-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 132, 'min': 132, 'avg': 127.75, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(115, 123)","(115, 123)","(116, 124)","(116, 124)","(124, 132)","(124, 132)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,4,4,1,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 115.492, 'rtimeup': 115.492}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 116.016, 'rtimeup': 116.016}",,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 115.876, 'rtimeup': 115.876}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",9,0,1711732863,ToM+MMMS-2143-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['34147325-b926-467c-bedb-eaa5e2a13a05', '34f0d0cd-c50a-4fbd-8ccb-c334c080e778']","['participant', 'robot']","['curvy-x', 'jagged-sun']","['hsla(18, 82%, 59%, 1.0)', 'hsla(274, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 133, 'min': 133, 'avg': 128.75, 'root': 8}","[-10, 0]","[84, 93]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(116, 124)","(116, 124)","(117, 125)","(117, 125)","(125, 133)","(125, 133)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,1,3,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 116.574, 'rtimeup': 116.574}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 116.799, 'rtimeup': 116.799}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 116.688, 'rtimeup': 116.688}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
