experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1712171277,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['328882ae-5d5b-416e-939a-db712d4f6c6b', '965601ca-f27c-4c17-8ba0-1f0563a06adf']","['participant', 'robot']","['circle', 'curvy-x']","['hsla(152, 93%, 50%, 1.0)', 'hsla(276, 82%, 49%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[21, 81]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 219.795, 'rtimeup': 219.795}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 10.491, 'rtimeup': 11.517}",,,,,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'linear', 'coefficients': [0, 1]}",0,1,1712171287,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['35890f55-8771-42ab-89af-a7ff7f25bcea', '90d31abf-e25f-4ce7-b4ba-69e6a3fa509c']","['participant', 'robot']","['two-triangle', 'flower']","['hsla(127, 98%, 37%, 1.0)', 'hsla(174, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 244, 'min': 244, 'avg': 238.5, 'root': 17}","[-10, 0]","[79, 91]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(224, 232)","(224, 236)","(226, 234)","(226, 236)","(236, 244)","(236, 244)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 224.394, 'rtimeup': 224.394}",,,,,"{'rtype': 'a', 'rtimedn': 6.986, 'rtimeup': 8.726}",,,"{'rtype': 'select-node', 'rtimedn': 225.255, 'rtimeup': 225.255}",,,,,,,"{'rtype': 'a', 'rtimedn': 1.503, 'rtimeup': 1.579}",,,"{'rtype': 'select-node', 'rtimedn': 225.085, 'rtimeup': 225.085}",,,,,"{'rtype': 'd', 'rtimedn': 11.507, 'rtimeup': 13.473}",,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",0,2,1712171291,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3d424ccf-4456-4f8b-a399-6c9c4d18af75', '5a643491-0f8c-4259-b8fe-3403090f5188']","['participant', 'robot']","['moon', 'pentagon']","['hsla(162, 64%, 53%, 1.0)', 'hsla(314, 85%, 64%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 111, 'min': 111, 'avg': 105.75, 'root': 17}","[-10, 0]","[63, 86]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(92, 100)","(92, 104)","(93, 101)","(93, 103)","(103, 111)","(103, 111)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 92.355, 'rtimeup': 92.355}",,,,,"{'rtype': 'a', 'rtimedn': 2.469, 'rtimeup': 3.622}",,,"{'rtype': 'select-node', 'rtimedn': 93.383, 'rtimeup': 93.383}",,,,,,,"{'rtype': 'a', 'rtimedn': 1.764, 'rtimeup': 2.57}",,,"{'rtype': 'select-node', 'rtimedn': 92.758, 'rtimeup': 92.758}",,,,,"{'rtype': 'd', 'rtimedn': 1.807, 'rtimeup': 2.888}",,,,
players,"{'n_humans': 7, 'n_robots': 7, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",0,3,1712171287,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['7493d2da-f0c2-4587-b57a-269fd957380f', 'f6f4225a-179b-48cd-beeb-7723564d82d5']","['participant', 'robot']","['round-square', 'squash']","['hsla(281, 93%, 58%, 1.0)', 'hsla(324, 60%, 36%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 188, 'min': 188, 'avg': 182.75, 'root': 17}","[-10, 0]","[79, 67]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(169, 177)","(169, 181)","(170, 178)","(170, 180)","(180, 188)","(180, 188)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 169.293, 'rtimeup': 169.293}",,,,,"{'rtype': 'a', 'rtimedn': 6.707, 'rtimeup': 7.385}",,,"{'rtype': 'select-node', 'rtimedn': 170.4, 'rtimeup': 170.4}",,,,,,,"{'rtype': 'd', 'rtimedn': 0.591, 'rtimeup': 1.22}",,,"{'rtype': 'select-node', 'rtimedn': 169.846, 'rtimeup': 169.846}",,,,,"{'rtype': 'a', 'rtimedn': 0.74, 'rtimeup': 2.879}",,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",0,4,1712171278,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['8b95b587-026b-4484-8878-b2f98d562ab4', '7d283513-251a-4168-84cb-95cc4b9ed1bc']","['participant', 'robot']","['pentagon', 'cross']","['hsla(32, 53%, 60%, 1.0)', 'hsla(294, 93%, 37%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 315, 'min': 315, 'avg': 309.5, 'root': 17}","[-10, 0]","[89, 100]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(295, 303)","(295, 307)","(297, 305)","(297, 307)","(307, 315)","(307, 315)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 295.813, 'rtimeup': 295.813}",,,,,"{'rtype': 'd', 'rtimedn': 7.383, 'rtimeup': 8.132}",,,"{'rtype': 'select-node', 'rtimedn': 296.333, 'rtimeup': 296.333}",,,,,,,"{'rtype': 'a', 'rtimedn': 3.519, 'rtimeup': 3.845}",,,"{'rtype': 'select-node', 'rtimedn': 296.141, 'rtimeup': 296.141}",,,,,"{'rtype': 'a', 'rtimedn': 1.774, 'rtimeup': 1.893}",,,,
game_trees,"{'preselected': True, 'trees_list': ['BDG-00-1111', 'BDG-01-1113', 'BDG-02-1115', 'BDG-03-1131', 'BDG-04-1133', 'BDG-05-1135', 'BDG-06-1151', 'BDG-07-1153', 'BDG-08-1155', 'BDG-09-1311', 'BDG-10-1313', 'BDG-11-1315', 'BDG-12-1331', 'BDG-13-1333', 'BDG-14-1335', 'BDG-15-1351', 'BDG-16-1353', 'BDG-17-1355', 'BDG-18-1511', 'BDG-19-1513', 'BDG-20-1515', 'BDG-21-1531', 'BDG-22-1533', 'BDG-23-1535', 'BDG-24-1551', 'BDG-25-1553', 'BDG-26-1555', 'BDG-27-3111', 'BDG-28-3113', 'BDG-29-3115', 'BDG-30-3131', 'BDG-31-3133', 'BDG-32-3135', 'BDG-33-3151', 'BDG-34-3153', 'BDG-35-3155', 'BDG-36-3311', 'BDG-37-3313', 'BDG-38-3315', 'BDG-39-3331', 'BDG-40-3333', 'BDG-41-3335', 'BDG-42-3351', 'BDG-43-3353', 'BDG-44-3355', 'BDG-45-3511', 'BDG-46-3513', 'BDG-47-3515', 'BDG-48-3531', 'BDG-49-3533', 'BDG-50-3535', 'BDG-51-3551', 'BDG-52-3553', 'BDG-53-3555', 'BDG-54-5111', 'BDG-55-5113', 'BDG-56-5115', 'BDG-57-5131', 'BDG-58-5133', 'BDG-59-5135', 'BDG-60-5151', 'BDG-61-5153', 'BDG-62-5155', 'BDG-63-5311', 'BDG-64-5313', 'BDG-65-5315', 'BDG-66-5331', 'BDG-67-5333', 'BDG-68-5335', 'BDG-69-5351', 'BDG-70-5353', 'BDG-71-5355', 'BDG-72-5511', 'BDG-73-5513', 'BDG-74-5515', 'BDG-75-5531', 'BDG-76-5533', 'BDG-77-5535', 'BDG-78-5551', 'BDG-79-5553', 'BDG-80-5555']}",0,5,1712171276,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['bfab509e-c3ca-428a-a17a-7a12d134fa12', 'e5f668cc-12eb-4e77-8c4d-dd20fc057bf5']","['participant', 'robot']","['dent-square', 'cross']","['hsla(148, 77%, 56%, 1.0)', 'hsla(252, 94%, 51%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[40, 82]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 177.979, 'rtimeup': 177.979}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 0.211, 'rtimeup': 1.014}",,,,,,,,,,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",0,6,1712171285,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['16385c6e-0693-4e55-98a2-623dceea43a1', 'f5abe101-5218-40b8-aa74-1ebeae019412']","['participant', 'robot']","['flame', 'pentagon']","['hsla(93, 87%, 37%, 1.0)', 'hsla(282, 94%, 50%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[75, 90]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 217.189, 'rtimeup': 217.189}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 3.073, 'rtimeup': 4.134}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'point', 'interval': [1, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'point', 'interval': [-2, -2], 'coefficients': [-2, 1]}, 'normal_envy': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",1,0,1712171301,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['328882ae-5d5b-416e-939a-db712d4f6c6b', '965601ca-f27c-4c17-8ba0-1f0563a06adf']","['participant', 'robot']","['circle', 'curvy-x']","['hsla(152, 93%, 50%, 1.0)', 'hsla(276, 82%, 49%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[21, 81]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 222.193, 'rtimeup': 222.193}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 7.732, 'rtimeup': 8.77}",,,,,,,,,,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",1,1,1712171301,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['35890f55-8771-42ab-89af-a7ff7f25bcea', '90d31abf-e25f-4ce7-b4ba-69e6a3fa509c']","['participant', 'robot']","['two-triangle', 'flower']","['hsla(127, 98%, 37%, 1.0)', 'hsla(174, 81%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 256, 'min': 256, 'avg': 248.0, 'root': 17}","[-10, 0]","[79, 91]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(226, 234)","(226, 238)","(238, 246)","(238, 248)","(248, 256)","(248, 256)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 226.4, 'rtimeup': 226.4}",,,,,"{'rtype': 'd', 'rtimedn': 0.57, 'rtimeup': 2.054}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.27, 'rtimeup': 2.628}",,,"{'rtype': 'select-node', 'rtimedn': 226.68, 'rtimeup': 226.68}",,,,,,,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",1,2,1712171310,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3d424ccf-4456-4f8b-a399-6c9c4d18af75', '5a643491-0f8c-4259-b8fe-3403090f5188']","['participant', 'robot']","['moon', 'pentagon']","['hsla(162, 64%, 53%, 1.0)', 'hsla(314, 85%, 64%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 124, 'min': 124, 'avg': 116.0, 'root': 17}","[-10, 0]","[63, 86]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(94, 102)","(94, 106)","(106, 114)","(106, 116)","(116, 124)","(116, 124)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 94.949, 'rtimeup': 94.949}",,,,,"{'rtype': 'a', 'rtimedn': 4.633, 'rtimeup': 5.024}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 4.784, 'rtimeup': 4.802}",,,"{'rtype': 'select-node', 'rtimedn': 95.249, 'rtimeup': 95.249}",,,,,,,,,
agency,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",1,3,1712171302,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['7493d2da-f0c2-4587-b57a-269fd957380f', 'f6f4225a-179b-48cd-beeb-7723564d82d5']","['participant', 'robot']","['round-square', 'squash']","['hsla(281, 93%, 58%, 1.0)', 'hsla(324, 60%, 36%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 201, 'min': 201, 'avg': 193.0, 'root': 17}","[-10, 0]","[79, 67]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(171, 179)","(171, 183)","(183, 191)","(183, 193)","(193, 201)","(193, 201)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 171.547, 'rtimeup': 171.547}",,,,,"{'rtype': 'd', 'rtimedn': 1.54, 'rtimeup': 1.975}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 9.657, 'rtimeup': 11.003}",,,"{'rtype': 'select-node', 'rtimedn': 171.848, 'rtimeup': 171.848}",,,,,,,,,
base_url,https://yourschool.sona-systems.com/webstudy_credit.aspx,1,4,1712171298,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['8b95b587-026b-4484-8878-b2f98d562ab4', '7d283513-251a-4168-84cb-95cc4b9ed1bc']","['participant', 'robot']","['pentagon', 'cross']","['hsla(32, 53%, 60%, 1.0)', 'hsla(294, 93%, 37%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 328, 'min': 328, 'avg': 320.0, 'root': 17}","[-10, 0]","[89, 100]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(298, 306)","(298, 310)","(310, 318)","(310, 320)","(320, 328)","(320, 328)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 298.147, 'rtimeup': 298.147}",,,,,"{'rtype': 'd', 'rtimedn': 2.612, 'rtimeup': 3.792}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.396, 'rtimeup': 4.818}",,,"{'rtype': 'select-node', 'rtimedn': 298.312, 'rtimeup': 298.312}",,,,,,,,,
